,Causes,Impacts,Hazard,Mitigation,Adaptation,Invalid
2026-01-28,0.9,0.9,0.0,0.9,0.0,0.0
2026-01-29,0.9,0.0,0.0,0.0,0.0,0.0
2026-01-30,0.0,3.6,0.0,0.0,0.0,0.0
2026-01-31,0.0,0.9,0.0,0.0,0.0,0.0
2026-02-02,0.0,0.9,0.0,0.0,0.0,0.0
2026-02-03,0.9,0.0,0.9,0.0,0.0,0.0
2026-02-04,1.8,0.9,0.0,0.0,0.9,0.0
2026-02-05,0.9,0.0,0.0,0.9,0.0,0.0
2026-02-06,0.0,0.0,0.9,0.0,0.9,0.0
2026-02-07,0.0,2.7,0.0,0.0,0.0,0.0
2026-02-08,0.9,0.0,0.0,0.0,0.0,0.0
2026-02-09,0.0,0.0,0.9,0.0,0.0,0.0
2026-02-10,0.9,3.5,0.0,0.0,0.0,0.0
2026-02-11,1.7000000000000002,2.5,0.0,0.0,0.0,0.0
2026-02-12,9.900000000000002,1.7000000000000002,0.0,5.4,0.9,0.0
2026-02-13,3.6,0.0,0.0,4.5,0.0,0.0
2026-02-14,0.9,0.0,0.0,0.0,0.0,0.0
2026-02-15,1.8,0.0,0.0,0.9,0.9,0.0
2026-02-16,0.9,0.9,0.0,0.0,0.0,0.0
2026-02-17,1.8,0.0,0.0,0.9,0.0,0.0
2026-02-18,1.8,1.7000000000000002,0.9,0.0,0.0,0.0
2026-02-19,0.9,0.9,0.0,2.7,0.0,0.0
2026-02-20,1.8,3.6,0.0,0.0,0.9,0.0
2026-02-21,0.0,0.0,0.9,0.0,0.0,0.0
2026-02-22,1.8,0.0,0.0,0.0,0.9,0.0
2026-02-23,0.9,0.0,0.0,0.9,0.0,0.0
2026-02-24,0.9,2.7,2.7,0.0,0.9,0.0
2026-02-25,1.8,0.0,2.7,0.9,1.8,0.0
2026-02-26,1.8,0.0,0.0,0.0,1.8,0.0
2026-02-27,0.0,1.8,0.9,0.0,0.0,0.0
2026-03-01,1.8,0.0,0.8,0.0,1.8,0.0
2026-03-02,2.7,0.0,0.9,0.9,0.0,0.0
2026-03-04,0.0,0.0,2.7,0.0,0.0,0.0
2026-03-05,1.8,0.0,0.0,0.0,1.8,0.0
2026-03-06,0.9,0.0,13.500000000000004,0.0,0.0,0.0
2026-03-07,0.9,0.0,9.900000000000002,0.0,0.0,0.0
2026-03-08,0.0,0.0,4.5,0.0,0.0,0.0
2026-03-09,0.9,0.0,4.5,0.0,0.0,0.0
2026-03-10,1.8,0.0,1.8,0.9,0.0,0.0
2026-03-11,0.0,0.0,0.9,0.0,0.0,0.0
2026-03-12,0.0,0.9,0.0,0.0,0.0,0.0
2026-03-13,0.9,0.0,0.9,0.0,0.0,0.0
2026-03-14,0.0,0.0,0.0,0.9,0.0,0.0
2026-03-15,0.0,0.0,0.0,0.9,0.0,0.0
2026-03-16,0.0,0.0,0.0,0.9,0.0,0.0
2026-03-18,0.0,0.0,0.0,0.0,0.9,0.0
2026-03-19,1.8,0.9,0.9,0.0,0.0,0.0
2026-03-20,0.9,0.0,1.8,0.9,0.9,0.0
2026-03-21,1.8,0.0,0.0,0.0,0.0,0.0
2026-03-23,1.8,0.8,0.8,0.9,0.0,0.0
2026-03-24,0.9,0.0,0.0,2.7,0.0,0.0
2026-03-25,6.300000000000001,0.0,0.9,9.900000000000002,0.0,0.0
2026-03-26,0.9,0.9,1.8,0.9,0.0,0.0
2026-03-27,0.9,1.7000000000000002,0.0,0.0,0.8,0.0
2026-03-30,0.9,0.0,0.0,0.0,0.0,0.0
2026-03-31,1.7000000000000002,3.3,3.5,0.0,0.0,0.0
2026-04-01,0.9,0.0,0.0,1.7000000000000002,0.0,0.0
2026-04-02,0.8,0.0,9.900000000000002,0.0,0.0,0.0
2026-04-03,0.0,2.6,0.0,0.0,0.0,0.0
2026-04-04,0.9,0.0,0.0,0.0,0.0,0.0
2026-04-05,0.0,0.0,0.9,0.0,0.0,0.0
2026-04-06,0.0,0.0,0.9,0.8,0.0,0.0
2026-04-07,2.7,0.0,0.0,0.0,0.0,0.9
2026-04-08,0.0,0.8,0.9,0.0,0.9,0.0
2026-04-09,0.9,0.9,0.9,0.0,0.0,0.0
2026-04-10,0.9,0.8,1.8,0.9,0.0,0.0
2026-04-11,1.8,1.7000000000000002,1.8,0.0,0.0,0.0
2026-04-12,0.0,0.0,0.0,0.9,0.0,0.0
2026-04-13,0.0,0.9,1.8,0.0,0.0,0.0
2026-04-14,0.0,0.0,4.5,0.9,0.0,0.0
2026-04-15,1.8,2.6,1.8,0.0,0.0,0.0
2026-04-16,0.0,0.0,0.9,0.0,0.0,0.0
2026-04-17,4.5,1.7000000000000002,0.0,0.0,0.0,0.0
2026-04-18,4.5,0.0,0.0,0.9,0.0,0.0
2026-04-19,1.8,1.7000000000000002,0.0,0.0,0.0,0.0
2026-04-20,0.9,0.0,0.0,0.0,0.9,0.0
2026-04-21,0.9,0.0,0.0,1.8,0.0,0.0
2026-04-22,6.900000000000001,2.7,1.8,1.8,0.0,0.7
2026-04-23,0.9,0.0,0.0,0.0,0.0,0.0
2026-04-24,2.7,0.0,0.9,0.0,0.9,0.0
2026-04-25,0.0,2.6,0.0,0.0,0.0,0.0
2026-04-27,3.6,1.8,0.0,0.0,0.0,0.0
2026-04-28,10.800000000000002,0.0,0.9,1.8,0.0,0.0
2026-04-29,7.200000000000001,1.8,1.8,0.9,1.8,0.0
2026-04-30,1.8,0.9,1.8,0.0,0.0,0.0
2026-05-01,3.6,0.0,0.0,2.6,0.0,0.0
2026-05-02,0.9,1.8,0.0,0.9,0.9,0.0
2026-05-03,2.7,1.6,0.0,0.0,0.0,0.0
2026-05-04,3.6,5.4,0.0,0.0,0.0,0.0
2026-05-05,4.4,0.9,0.0,3.6,0.0,0.0
2026-05-06,0.9,0.0,0.0,1.8,1.8,0.0
2026-05-07,3.6,0.9,0.0,2.7,0.0,0.0
2026-05-08,3.6,0.0,0.0,0.0,0.9,0.0
2026-05-09,1.8,0.0,0.0,0.0,0.0,0.0
2026-05-10,0.0,0.0,0.0,0.0,0.9,0.0
2026-05-11,0.9,0.0,0.0,0.0,0.9,0.7
2026-05-12,3.6,1.7000000000000002,0.0,0.9,0.0,0.0
2026-05-13,1.8,1.8,1.8,0.0,0.0,0.7
2026-05-14,1.8,0.0,0.8,0.0,0.0,0.8
2026-05-15,1.8,0.8,0.0,1.8,0.0,0.0
2026-05-16,0.9,0.9,0.0,0.9,0.0,0.0
2026-05-18,2.7,0.9,0.9,4.5,0.0,0.0
2026-05-19,3.6,0.0,4.2,0.0,2.7,1.4
2026-05-20,5.4,0.9,0.0,2.7,0.9,0.0
2026-05-21,2.7,0.0,1.8,0.9,0.9,0.0
2026-05-22,1.8,0.0,2.7,0.0,1.8,0.0
2026-05-23,2.7,2.6,0.9,1.8,1.8,0.0
2026-05-24,0.9,6.800000000000002,2.7,0.0,0.8,0.0
2026-05-25,1.8,2.6,2.6,0.0,0.0,0.0
2026-05-26,0.9,8.8,17.000000000000004,2.7,1.8,0.7
2026-05-27,3.6,8.200000000000001,0.9,3.5,0.0,0.7
2026-05-28,3.6,2.6,10.800000000000002,2.7,0.9,0.0
2026-05-29,2.7,4.1000000000000005,6.7,0.0,0.9,0.0
2026-05-30,1.8,0.0,1.8,0.0,0.0,0.0
2026-05-31,0.9,0.0,0.9,0.9,0.0,0.0
2026-06-01,1.8,2.5,1.8,3.6,0.9,0.0
2026-06-02,2.6,7.1000000000000005,1.7000000000000002,2.7,0.0,0.0
2026-06-03,2.7,0.0,0.9,0.9,0.0,0.7
2026-06-04,2.7,1.7000000000000002,0.0,3.6,0.9,0.0
2026-06-05,0.9,0.0,0.0,0.9,0.0,0.0
2026-06-06,0.9,1.8,0.0,1.8,0.0,0.0
2026-06-07,0.9,0.0,0.0,2.7,0.9,0.0
2026-06-08,1.8,2.5,0.0,1.8,0.9,0.7
2026-06-09,1.8,7.999999999999999,0.0,5.4,2.7,0.0
2026-06-10,3.6,5.4,3.6,2.7,0.0,0.0
2026-06-11,0.0,2.5,0.9,1.8,0.9,0.0
2026-06-12,0.9,1.8,0.9,0.9,0.0,0.0
2026-06-13,5.3,0.8,0.9,0.0,0.0,0.0
2026-06-14,0.9,1.7000000000000002,0.0,0.0,0.0,0.0
2026-06-15,0.0,1.7000000000000002,2.7,0.0,0.0,0.0
2026-06-16,0.0,1.8,2.6,0.9,0.0,0.0
2026-06-17,1.8,10.900000000000002,11.700000000000003,2.5,0.9,0.7
2026-06-18,1.8,16.700000000000006,21.0,0.9,0.9,0.0
2026-06-19,0.9,37.499999999999986,14.100000000000003,1.6,9.9,0.0
2026-06-20,0.9,8.000000000000002,7.200000000000001,0.0,0.8,0.0
2026-06-21,0.8,12.700000000000005,6.700000000000001,0.0,0.9,0.0
2026-06-22,0.0,5.2,10.600000000000003,1.8,0.9,0.0
2026-06-23,1.8,9.3,17.900000000000002,0.0,5.3,0.7
2026-06-24,3.6,26.0,24.199999999999992,0.0,0.9,0.7
2026-06-25,5.4,30.5,38.99999999999997,6.900000000000001,4.8999999999999995,1.4
2026-06-26,11.500000000000004,50.799999999999955,55.99999999999994,0.9,5.2,0.0
2026-06-27,0.0,21.499999999999996,23.999999999999993,0.8,0.9,0.0
2026-06-28,2.7,22.499999999999993,16.900000000000002,0.9,3.5,0.0
2026-06-29,2.7,32.99999999999999,11.400000000000004,0.9,3.4,0.0
2026-06-30,7.200000000000001,15.600000000000007,11.500000000000002,2.7,2.6,0.0
2026-07-01,6.300000000000001,7.800000000000002,6.300000000000001,0.0,2.6,0.0
2026-07-02,0.0,6.1000000000000005,5.4,0.0,0.9,0.0
2026-07-03,2.7,4.5,2.6,0.0,0.9,0.0
2026-07-04,1.8,3.4000000000000004,6.1000000000000005,0.0,0.9,0.0
2026-07-05,0.9,2.7,1.7000000000000002,0.9,0.0,0.0
2026-07-06,0.0,5.4,2.7,0.0,0.0,0.0
2026-07-07,7.100000000000001,1.8,4.5,0.0,0.0,0.0
2026-07-08,0.9,3.4000000000000004,0.9,0.9,0.0,1.4
2026-07-09,4.5,12.100000000000001,9.000000000000002,1.8,0.0,0.0
2026-07-10,7.200000000000001,7.9,7.100000000000001,0.9,0.0,0.8
2026-07-11,4.5,3.3,7.800000000000001,0.0,0.9,0.0
2026-07-12,4.5,4.2,7.200000000000001,0.8,0.0,0.0
2026-07-13,3.6,10.600000000000001,7.000000000000001,0.0,0.0,0.0
2026-07-14,9.900000000000002,5.0,7.000000000000001,0.0,0.8,0.0
2026-07-15,10.700000000000003,4.3,1.8,1.8,1.8,0.0
2026-07-16,4.3,4.5,4.5,0.9,0.0,0.0
2026-07-17,9.000000000000002,8.700000000000001,3.5,5.4,0.0,0.7
2026-07-18,1.7000000000000002,6.1000000000000005,2.7,1.8,0.9,0.7
2026-07-19,0.8,0.0,3.6,0.9,0.0,0.7
2026-07-20,3.4000000000000004,3.6,0.0,0.9,0.0,0.0
2026-07-21,2.7,6.300000000000001,1.8,0.0,0.0,0.0
2026-07-22,5.4,1.8,3.6,0.0,0.0,0.0
2026-07-23,10.700000000000003,4.3,1.8,0.0,0.9,0.0
2026-07-24,0.9,4.5,0.9,0.8,0.9,0.0
2026-07-25,2.7,3.5,1.8,0.9,0.0,0.0
2026-07-26,1.8,4.5,0.9,1.7000000000000002,0.0,0.0
2026-07-27,1.8,8.700000000000001,0.9,0.0,0.0,0.0
2026-07-28,3.6,11.300000000000002,14.300000000000004,0.0,0.0,0.0
2026-07-29,0.9,8.8,10.800000000000002,0.8,1.7000000000000002,0.7
2026-07-30,2.7,16.200000000000006,18.6,0.9,0.9,0.0
2026-07-31,0.9,6.9,4.5,0.8,0.9,0.0
2026-08-01,2.7,2.7,7.100000000000001,0.9,0.0,0.0
2026-08-02,0.9,2.6,0.9,0.9,0.0,0.7
2026-08-03,0.0,0.8,2.7,0.0,0.9,0.0
2026-08-04,7.900000000000001,2.7,2.7,0.0,3.6,0.0
2026-08-05,7.200000000000001,6.7,4.4,0.0,3.5,0.0
2026-08-06,2.7,4.9,1.8,0.0,0.0,0.0
2026-08-07,4.5,3.3,4.5,0.0,0.0,0.0
2026-08-08,2.7,2.6,4.5,0.0,0.0,0.0
2026-08-09,0.0,1.8,0.0,0.0,0.9,0.0
2026-08-10,4.5,0.9,0.0,0.0,0.0,0.0
2026-08-11,1.7000000000000002,3.5,0.8,0.0,0.0,0.0
2026-08-12,0.9,0.0,1.7000000000000002,0.0,0.0,0.0
2026-08-13,0.9,0.9,1.7000000000000002,0.0,0.0,0.0
2026-08-14,0.9,0.0,1.8,0.9,0.0,0.0
2026-08-15,4.5,6.000000000000001,0.9,0.0,0.0,0.0
2026-08-16,5.300000000000001,1.7000000000000002,0.9,0.9,0.0,0.0
2026-08-17,17.900000000000002,5.4,1.8,0.0,0.0,0.0
2026-08-18,2.7,0.9,0.9,0.0,0.0,0.0
2026-08-19,6.300000000000001,0.0,0.0,0.0,0.0,0.0
2026-08-20,1.8,9.900000000000002,0.0,0.0,0.0,0.0
2026-08-21,0.0,7.200000000000001,0.0,0.0,0.0,0.0
